precursor	mirbase_id	chr	strand	start	end	exp_mature	Cerebellum	Heart	Testis	Brain	Kidney	closest_gene	gene_strand	distance
hsa-mir-146a	MI0000477	chr5	+	159912359	159912457	hsa-miR-146a-3p	0	0.48	0	0	0.54	PTTG1	+	-56614
hsa-mir-1302-11	MI0015980	chr9	+	30144	30281	none	0	0	0	0	0	WASH1	-	-406
hsa-mir-7162	MI0023623	chr10	-	30657526	30657594	hsa-miR-7162-3p	0	0	24.04	0	0	MTPAP	-	19260
hsa-mir-4776-2	MI0017420	chr2	-	213790981	213791060	hsa-miR-4776-5p	0	0	0	0.16	0	IKZF2	-	-73352
hsa-mir-5694	MI0019301	chr14	-	67908572	67908647	none	0	0	0	0	0	TMEM229B	-	-28337
hsa-mir-6077-1	MI0020354	chr1	+	143672921	143673002	none	0	0	0	0	0	LOC100130000	+	14129
hsa-mir-515-1	MI0003144	chr19	+	54182257	54182339	hsa-miR-515-5p	0	0	10.25	0	0	DPRX	+	-41995
hsa-mir-3929	MI0016439	chr18	-	33514051	33514105	none	0	0	0	0	0	C18orf21	+	-38484
hsa-mir-545	MI0003516	chrX	-	73506939	73507044	none	0	0	0	0	0	FTX	-	0
hsa-mir-301b	MI0005568	chr22	+	22007270	22007347	hsa-miR-301b	0	0	2.36	0	0.54	SDF2L1	+	-8683
hsa-mir-645	MI0003660	chr20	+	49202323	49202416	none	0	0	0	0	0	FAM65C	-	232
hsa-mir-548g	MI0006395	chr4	-	148265781	148265869	none	0	0	0	0	0	EDNRA	+	-136201
hsa-mir-650	MI0003665	chr22	+	23165270	23165365	none	0	0	0	0	0	IGLL5	+	64596
hsa-mir-892c	MI0022560	chrX	-	145074268	145074344	none	0	0	0	0	0	CXorf1	+	162899
hsa-mir-517a	MI0003161	chr19	+	54215522	54215608	hsa-miR-517-5p	0	0.24	0.39	0	0	DPRX	+	-75260
hsa-mir-135b	MI0000810	chr1	-	205417430	205417526	hsa-miR-135b-3p	6.46	0	4.34	0.48	1.25	LEMD1	-	26217
hsa-mir-3673	MI0016074	chr8	-	130508088	130508189	none	0	0	0	0	0	GSDMC	-	-252254
hsa-mir-3193	MI0014238	chr20	+	30194989	30195043	hsa-miR-3193	0.22	0.24	0	0.48	0	ID1	+	-673
hsa-mir-2114	MI0010633	chrX	+	149396239	149396318	hsa-miR-2114-3p	0.22	0	1.58	0.16	0.71	MAMLD1	+	135234
hsa-let-7f-1	MI0000067	chr9	+	96938629	96938715	hsa-let-7f-1-3p	0	0.71	1.58	0	0.18	PTPDC1	+	-66492
hsa-mir-296	MI0000747	chr20	-	57392670	57392749	hsa-miR-296-5p	1.78	2.62	13.4	4.12	1.25	GNAS-AS1	-	-1225
hsa-mir-509-1	MI0003196	chrX	-	146342050	146342143	hsa-miR-509-5p	0	0	122.57	0	0.71	CXorf51A	-	445802
hsa-mir-509-1	MI0003196	chrX	-	146342050	146342143	hsa-miR-509-5p	0	0	122.57	0	0.71	CXorf51B	-	445802
hsa-mir-514a-1	MI0003198	chrX	-	146360765	146360862	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51A	-	464517
hsa-mir-514a-1	MI0003198	chrX	-	146360765	146360862	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51B	-	464517
hsa-mir-517c	MI0003174	chr19	+	54244567	54244661	hsa-miR-517-5p	0	0.24	0.39	0	0	NLRP12	-	52195
hsa-mir-1263	MI0006398	chr3	-	163889259	163889344	hsa-miR-1263	0	0	0	0	0.89	SI	-	-807343
hsa-mir-197	MI0000239	chr1	+	110141515	110141589	hsa-miR-197-5p	0	0.24	0	0	0	GNAI3	+	-3062
hsa-mir-4698	MI0017331	chr12	+	47581595	47581674	none	0	0	0	0	0	PCED1B-AS1	-	20530
hsa-mir-34a	MI0000268	chr1	-	9211727	9211836	hsa-miR-34a-3p	0.67	0	2.76	0.16	0	GPR157	-	22499
hsa-mir-6129	MI0021274	chr17	-	47365708	47365816	none	0	0	0	0	0	ZNF652	-	-753
hsa-mir-424	MI0001446	chrX	-	133680644	133680741	hsa-miR-424-5p	0.22	14.27	894.62	2.06	94.24	MGC16121	-	0
hsa-mir-4771-1	MI0017412	chr2	+	87421909	87421982	none	0	0	0	0	0	LOC285074	-	-118374
hsa-mir-512-2	MI0003141	chr19	+	54172411	54172508	hsa-miR-512-3p	0	1.19	38.23	0	0	DPRX	+	-32149
hsa-mir-4462	MI0016810	chr6	-	37523141	37523198	none	0	0	0	0	0	CCDC167	-	55442
hsa-mir-524	MI0003160	chr19	+	54214256	54214342	hsa-miR-524-5p	0	0	5.91	0	0	DPRX	+	-73994
hsa-mir-4478	MI0016831	chr9	-	124882361	124882446	hsa-miR-4478	0.45	0.24	0.39	0	0.18	NDUFA8	-	-23893
hsa-mir-8079	MI0025915	chr13	-	44770265	44770336	none	0	0	0	0	0	SMIM2-IT1	-	37908
hsa-mir-141	MI0000457	chr12	+	7073260	7073354	hsa-miR-141-5p	0	0	0	0	20.88	PHB2	-	1162
hsa-let-7f-1	MI0000067	chr9	+	96938629	96938715	hsa-let-7f-1-3p	0	0.71	1.58	0	0.18	PTPDC1	+	-66492
hsa-mir-4537	MI0016908	chr14	-	106325653	106325722	none	0	0	0	0	0	KIAA0125	+	-58117
hsa-mir-190b	MI0005545	chr1	-	154166141	154166219	hsa-miR-190b	0.67	0.71	14.19	1.11	0.71	TPM3	-	1533
hsa-mir-6072	MI0020349	chr10	-	2118213	2118283	none	0	0	0	0	0	LOC282980	-	61672
hsa-mir-8052	MI0025888	chr11	+	130536630	130536698	none	0	0	0	0	0	ADAMTS15	+	-190092
hsa-mir-1302-10	MI0015979	chr19	+	71973	72110	none	0	0	0	0	0	WASH5P	-	-1008
hsa-mir-3197	MI0014245	chr21	+	42539484	42539556	hsa-miR-3197	0	0	0	0.16	0	BACE2	+	173
hsa-mir-4519	MI0016885	chr16	-	30886587	30886644	none	0	0	0	0	0	BCL7C	-	-12473
hsa-mir-8065	MI0025901	chr16	+	5682468	5682567	none	0	0	0	0	0	RBFOX1	+	386566
hsa-mir-548ai	MI0016813	chr6	+	99572485	99572572	hsa-miR-548ai	0	0.24	0	0.16	0	FAXC	-	148222
hsa-mir-5087	MI0017976	chr1	-	147806603	147806678	hsa-miR-5087	0	0	0.39	0	0	FLJ39739	-	-99345
hsa-mir-1302-2	MI0006363	chr1	+	30366	30503	none	0	0	0	0	0	WASH7P	-	-997
hsa-mir-5186	MI0018165	chr3	-	151283664	151283783	hsa-miR-5186	0	0	0.39	0	0	IGSF10	-	107168
hsa-mir-519d	MI0003162	chr19	+	54216601	54216688	hsa-miR-519d-5p	0	0	1.58	0	0	DPRX	+	-76339
hsa-mir-15a	MI0000069	chr13	-	50623255	50623337	hsa-miR-15a-3p	0.22	0	0	0	0.18	DLEU2	-	0
hsa-mir-4444-2	MI0019111	chr3	+	75263627	75263700	hsa-miR-4444	0.22	0	0	0	0	FAM86DP	-	207004
hsa-mir-192	MI0000234	chr11	-	64658609	64658718	hsa-miR-192-5p	268	366.86	281	165.94	50230.3	ATG2A	-	-3287
hsa-mir-331	MI0000812	chr12	+	95702196	95702289	hsa-miR-331-5p	24.95	10.94	3.15	19.35	2.86	VEZT	+	-5631
hsa-mir-134	MI0000474	chr14	+	101521024	101521096	hsa-miR-134-5p	1343.11	56.38	487.11	1905.5	60.15	MEG9	+	15153
hsa-mir-557	MI0003563	chr1	+	168344762	168344859	none	0	0	0	0	0	LOC100505918	-	24569
hsa-mir-602	MI0003615	chr9	+	140732871	140732968	none	0	0	0	0	0	EHMT1	+	-2294
hsa-mir-3670-1	MI0016071	chr16	+	15001574	15001638	none	0	0	0	0	0	NOMO1	+	-11561
hsa-mir-34b	MI0000742	chr11	+	111383663	111383746	hsa-miR-34b-5p	0	0	9.46	0.16	0	BTG4	-	-585
hsa-mir-6076	MI0020353	chr14	+	50433117	50433229	none	0	0	0	0	0	C14orf182	-	15202
hsa-mir-4423	MI0016760	chr1	+	85599477	85599556	hsa-miR-4423-5p	0.45	0	0.39	0	0.18	WDR63	+	-657
hsa-mir-1244-2	MI0015974	chr12	+	12264886	12264970	hsa-miR-1244	0.22	0	0.39	0.32	0	LRP6	-	3992
hsa-mir-4299	MI0015829	chr11	-	11678198	11678269	none	0	0	0	0	0	GALNTL4	-	34638
hsa-mir-4645	MI0017272	chr6	-	2854265	2854341	none	0	0	0	0	0	MGC39372	-	-551
hsa-mir-421	MI0003685	chrX	-	73438212	73438296	hsa-miR-421	6.01	5.47	4.73	5.55	7.5	FTX	-	0
hsa-mir-5701-2	MI0019593	chr15	+	22156766	22156847	hsa-miR-5701	0	0.24	0	0	0	NF1P2	-	-10965
hsa-mir-503	MI0003188	chrX	-	133680358	133680428	hsa-miR-503-5p	0	1.19	25.22	0.79	9.82	MGC16121	-	0
hsa-mir-4494	MI0016856	chr12	-	47757969	47758052	none	0	0	0	0	0	PCED1B	+	127527
hsa-mir-4433b	MI0025511	chr2	-	64567881	64567982	hsa-miR-4433b-5p	0	0.24	1.18	0	0	LGALSL	+	-113346
hsa-mir-675	MI0005416	chr11	-	2017989	2018061	hsa-miR-675-5p	0	0	0.79	0	0.36	H19	-	0
hsa-mir-378g	MI0016761	chr1	-	95211416	95211456	hsa-miR-378g	6.68	26.17	0.79	0.48	4.46	SLC44A3	+	-74443
hsa-mir-758	MI0003757	chr14	+	101492357	101492444	hsa-miR-758-3p	7.8	0.48	5.91	8.57	0.54	SNORD114-31	+	-32712
hsa-mir-3976	MI0016994	chr18	+	5840694	5840832	none	0	0	0	0	0	LOC645355	+	-44795
hsa-mir-518f	MI0003154	chr19	+	54203269	54203355	hsa-miR-518f-3p	0	0	3.55	0	0	DPRX	+	-63007
hsa-mir-379	MI0000787	chr14	+	101488403	101488469	hsa-miR-379-5p	5826.23	459.64	5234.49	5910.67	524.75	SNORD114-31	+	-28758
hsa-mir-92a-1	MI0000093	chr13	+	92003568	92003645	hsa-miR-92a-3p	655.18	1405.57	855.6	1366.73	1764.71	GPC5	+	47291
hsa-mir-514a-3	MI0003200	chrX	-	146366159	146366246	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51A	-	469911
hsa-mir-514a-3	MI0003200	chrX	-	146366159	146366246	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51B	-	469911
hsa-mir-4712	MI0017346	chr15	+	50652526	50652607	hsa-miR-4712-3p	0	0.24	0	0	0	GABPB1-AS1	+	-2024
hsa-mir-3199-2	MI0014248	chr22	+	28316514	28316599	hsa-miR-3199	0.22	0	0.79	0.16	0	TTC28-AS1	+	0
hsa-mir-409	MI0001735	chr14	+	101531637	101531715	hsa-miR-409-5p	63.27	3.09	14.58	43.63	0.89	MEG9	+	4534
hsa-mir-3149	MI0014176	chr8	-	77879004	77879086	hsa-miR-3149	2	1.9	0	3.01	0.89	PEX2	-	-13409
hsa-mir-6503	MI0022215	chr11	-	59976544	59976629	hsa-miR-6503-3p	0	0.48	0	0	0	MS4A6A	-	24406
hsa-mir-130b	MI0000748	chr22	+	22007593	22007674	hsa-miR-130b-3p	102.03	87.07	74.49	86.3	83.18	SDF2L1	+	-9006
hsa-mir-525	MI0003152	chr19	+	54200787	54200871	hsa-miR-525-3p	0	0	1.18	0	0	DPRX	+	-60525
hsa-mir-210	MI0000286	chr11	-	568089	568198	hsa-miR-210-5p	1.34	2.14	0.79	2.54	0.54	RASSF7	+	4065
hsa-let-7a-2	MI0000061	chr11	-	122017230	122017301	hsa-let-7a-5p	561489	184921	87834.8	187022	81620.8	BLID	-	30308
hsa-mir-7-2	MI0000264	chr15	+	89155056	89155165	hsa-miR-7-5p	359.34	20.46	191.93	310.79	25.52	AEN	+	9363
hsa-mir-4725	MI0017362	chr17	+	29902288	29902377	hsa-miR-4725-3p	0.22	0	0	0	0	RAB11FIP4	+	-37057
hsa-mir-300	MI0005525	chr14	+	101507700	101507782	none	0	0	0	0	0	MEG9	+	28467
hsa-mir-371b	MI0017393	chr19	-	54290931	54290996	none	0	0	0	0	0	NLRP12	-	-5860
hsa-mir-6859-2	MI0026420	chr15	+	102513727	102513794	hsa-miR-6859-5p	6.68	3.09	1.58	17.45	3.75	WASH3P	+	0
hsa-mir-5197	MI0018176	chr5	+	143059425	143059536	none	0	0	0	0	0	HMHB1	+	132191
hsa-mir-3910-2	MI0016431	chr9	-	94398546	94398627	none	0	0	0	0	0	ROR2	-	-86252
hsa-mir-548i-4	MI0006424	chrX	-	83480760	83480836	none	0	0	0	0	0	RPS6KA6	-	37818
hsa-mir-4500	MI0016863	chr13	-	88270920	88270995	none	0	0	0	0	0	SLITRK5	+	-53876
hsa-mir-3913-1	MI0016417	chr12	-	69978502	69978603	hsa-miR-3913-5p	0	2.62	3.15	1.11	5.18	CCT2	+	-606
hsa-mir-3179-3	MI0014221	chr16	-	18505751	18505834	none	0	0	0	0	0	NOMO2	-	-5349
hsa-mir-6511b-2	MI0023431	chr16	-	15227932	15228002	hsa-miR-6511b-5p	0.67	0	0	0.32	0.18	RRN3	-	39775
hsa-mir-6080	MI0020357	chr17	+	62776877	62776942	none	0	0	0	0	0	LOC146880	-	0
hsa-mir-525	MI0003152	chr19	+	54200787	54200871	hsa-miR-525-3p	0	0	1.18	0	0	DPRX	+	-60525
hsa-mir-2117	MI0010636	chr17	+	41522174	41522253	none	0	0	0	0	0	DHX8	+	39082
hsa-mir-125b-2	MI0000470	chr21	+	17962557	17962645	hsa-miR-125b-2-3p	95.35	125.38	39.02	170.23	43.19	LINC00478	+	0
hsa-mir-4662a	MI0017290	chr8	+	125834227	125834293	hsa-miR-4662a-5p	0.45	3.33	0.79	0.32	5.18	MTSS1	-	-93498
hsa-mir-1208	MI0006341	chr8	+	129162362	129162434	none	0	0	0	0	0	PVT1	+	-48864
hsa-mir-3529	MI0017351	chr15	-	89155078	89155155	hsa-miR-3529-5p	0	0	0	0.16	0	AEN	+	-9373
hsa-mir-3622a	MI0016013	chr8	+	27559194	27559276	hsa-miR-3622a-5p	5.79	0	1.18	3.81	0.54	SCARA3	+	-24909
hsa-mir-4703	MI0017336	chr13	+	52126725	52126803	hsa-miR-4703-3p	0	0.71	0.39	0	1.25	WDFY2	+	31682
hsa-mir-524	MI0003160	chr19	+	54214256	54214342	hsa-miR-524-5p	0	0	5.91	0	0	DPRX	+	-73994
hsa-mir-3118-6	MI0015981	chr15	+	22049274	22049348	none	0	0	0	0	0	POTEB	-	2506
hsa-mir-3689d-1	MI0016834	chr9	-	137741455	137741528	none	0	0	0	0	0	COL5A1	+	4768
hsa-mir-150	MI0000479	chr19	-	50004042	50004125	hsa-miR-150-5p	83.32	262.18	57.15	82.97	18.03	RPS11	+	1074
hsa-mir-7153	MI0023613	chr18	-	11654884	11654940	hsa-miR-7153-5p	0	0	13.79	0	0	GNAL	+	-34075
hsa-mir-320d-2	MI0008192	chrX	-	140008337	140008384	hsa-miR-320d	8.69	0.48	1.97	1.43	1.25	SPANXB1	+	-76373
hsa-mir-320d-2	MI0008192	chrX	-	140008337	140008384	hsa-miR-320d	8.69	0.48	1.97	1.43	1.25	SPANXB2	+	-76373
hsa-mir-320d-2	MI0008192	chrX	-	140008337	140008384	hsa-miR-320d	8.69	0.48	1.97	1.43	1.25	SPANXF1	+	-76373
hsa-mir-4325	MI0015865	chr20	-	55896558	55896647	none	0	0	0	0	0	SPO11	+	-8185
hsa-let-7b	MI0000063	chr22	+	46509566	46509648	hsa-let-7b-5p	631225	46158.2	39710.7	244763	19404.3	PPARA	+	36852
hsa-mir-5701-1	MI0019308	chr15	+	21145581	21145662	hsa-miR-5701	0	0.24	0	0	0	LOC348120	+	106
hsa-mir-4458	MI0016804	chr5	+	8461038	8461112	none	0	0	0	0	0	LOC100505738	+	0
hsa-mir-545	MI0003516	chrX	-	73506939	73507044	none	0	0	0	0	0	FTX	-	0
hsa-mir-4283-2	MI0015982	chr7	+	63081468	63081547	none	0	0	0	0	0	LOC100287834	-	-222050
hsa-mir-7159	MI0023620	chr6	+	33866912	33866977	hsa-miR-7159-5p	0	0	37.44	0	0	LOC100507584	-	-2229
hsa-mir-5089	MI0017978	chr17	+	45050383	45050466	hsa-miR-5089-5p	0.22	0	0	0	0	RPRML	-	5057
hsa-mir-1204	MI0006337	chr8	+	128808208	128808274	none	0	0	0	0	0	MYC	+	-54529
hsa-mir-378d-1	MI0016749	chr4	-	5925002	5925055	hsa-miR-378d	1.11	53.05	4.73	2.06	35.34	CRMP1	-	30218
hsa-mir-20a	MI0000076	chr13	+	92003319	92003389	hsa-miR-20a-3p	0.22	2.38	3.55	0	3.03	GPC5	+	47547
hsa-mir-3689e	MI0016836	chr9	-	137742416	137742487	none	0	0	0	0	0	COL5A1	+	5729
hsa-mir-1253	MI0006387	chr17	-	2651372	2651476	none	0	0	0	0	0	KIAA0664	-	36446
hsa-mir-3910-1	MI0016414	chr9	+	94398533	94398643	none	0	0	0	0	0	ROR2	-	86236
hsa-mir-16-1	MI0000070	chr13	-	50623109	50623197	hsa-miR-16-1-3p	0	0.24	0.39	0	0.54	DLEU2	-	0
hsa-mir-1827	MI0008195	chr12	+	100583662	100583727	none	0	0	0	0	0	ACTR6	+	10139
hsa-mir-892c	MI0022560	chrX	-	145074268	145074344	none	0	0	0	0	0	CXorf1	+	162899
hsa-mir-1304	MI0006371	chr11	-	93466840	93466930	none	0	0	0	0	0	SNORA18	-	78
hsa-mir-548a-2	MI0003598	chr6	+	135560298	135560394	hsa-miR-548a-3p	0.45	1.43	1.18	0.79	1.78	MYB	+	-19988
hsa-mir-550a-3	MI0003762	chr7	-	29720350	29720444	hsa-miR-550a-3p	1.11	0.48	1.58	1.11	0.18	LOC646762	-	0
hsa-mir-3622b	MI0016014	chr8	-	27559190	27559284	none	0	0	0	0	0	SCARA3	+	24905
hsa-mir-19a	MI0000073	chr13	+	92003145	92003226	hsa-miR-19a-5p	0	0	0.39	0	0	GPC5	+	47710
hsa-mir-655	MI0003677	chr14	+	101515887	101515983	hsa-miR-655-3p	2.23	1.9	18.52	5.71	1.43	MEG9	+	20266
hsa-mir-4435-1	MI0016775	chr2	+	87929274	87929353	hsa-miR-4435	0	0.24	0	0.16	0.18	LINC00152	+	-108245
hsa-mir-588	MI0003597	chr6	+	126805777	126805859	none	0	0	0	0	0	CENPW	+	-136024
hsa-mir-29b-1	MI0000105	chr7	-	130562218	130562298	hsa-miR-29b-1-5p	5.12	3.57	0.79	11.58	2.32	LOC646329	-	-3454
hsa-mir-514b	MI0014251	chrX	-	146331669	146331748	hsa-miR-514b-5p	0	0	214.79	0	1.07	CXorf51A	-	435421
hsa-mir-514b	MI0014251	chrX	-	146331669	146331748	hsa-miR-514b-5p	0	0	214.79	0	1.07	CXorf51B	-	435421
hsa-mir-132	MI0000449	chr17	-	1953202	1953302	hsa-miR-132-3p	234.58	55.67	36.26	558.27	15.35	HIC1	+	-5092
hsa-mir-802	MI0003906	chr21	+	37093013	37093106	hsa-miR-802	0	0	0	0	0.18	SETD4	-	313734
hsa-mir-3679	MI0016080	chr2	+	134884696	134884763	hsa-miR-3679-5p	0.67	0.48	0	0.32	0	MGAT5	+	127068
hsa-mir-4437	MI0016778	chr2	-	182170320	182170379	none	0	0	0	0	0	ITGA4	+	-151241
hsa-mir-513a-2	MI0003192	chrX	-	146307344	146307470	hsa-miR-513a-5p	0	0	43.75	0	0	CXorf51A	-	411096
hsa-mir-513a-2	MI0003192	chrX	-	146307344	146307470	hsa-miR-513a-5p	0	0	43.75	0	0	CXorf51B	-	411096
hsa-mir-99a	MI0000101	chr21	+	17911409	17911489	hsa-miR-99a-5p	1813.61	5259.46	2090.33	1610.1	2128.65	LINC00478	+	0
hsa-mir-5684	MI0019285	chr19	+	12897942	12898006	hsa-miR-5684	0	0.95	1.18	0.16	0.54	JUNB	+	4305
hsa-mir-195	MI0000489	chr17	-	6920934	6921020	hsa-miR-195-5p	277.58	724.2	1936.23	103.12	507.62	C17orf49	+	92
hsa-mir-195	MI0000489	chr17	-	6920934	6921020	hsa-miR-195-5p	277.58	724.2	1936.23	103.12	507.62	RNASEK-C17orf49	+	92
hsa-mir-337	MI0000806	chr14	+	101340830	101340922	hsa-miR-337-3p	1.11	0.71	9.06	0.16	0.36	RTL1	-	6071
hsa-let-7i	MI0000434	chr12	+	62997466	62997549	hsa-let-7i-5p	9934.43	2090.03	1259.56	1765.57	777.67	C12orf61	-	-253
hsa-mir-6068	MI0020345	chr1	-	63792596	63792655	none	0	0	0	0	0	FOXD3	+	1800
hsa-mir-3912	MI0016416	chr5	-	170813660	170813764	none	0	0	0	0	0	NPM1	+	-945
hsa-mir-1270-1	MI0006407	chr19	-	20510081	20510163	hsa-miR-1270	19.83	2.62	11.03	40.61	23.74	ZNF826P	-	-68464
hsa-mir-378i	MI0016902	chr22	-	42319226	42319301	hsa-miR-378i	0	15.7	0	0	0.54	TNFRSF13C	-	-1736
hsa-mir-182	MI0000272	chr7	-	129410223	129410332	hsa-miR-182-5p	22.5	75.89	201.78	33.16	984.9	NRF1	+	13302
hsa-mir-1270-2	MI0015976	chr19	-	20579240	20579322	hsa-miR-1270	19.83	2.62	11.03	40.61	23.74	ZNF826P	-	0
hsa-mir-570	MI0003577	chr3	+	195426272	195426368	hsa-miR-570-3p	0	1.67	1.97	0	0.71	SDHAP2	+	-10538
hsa-mir-8062	MI0025898	chr20	+	7352255	7352339	none	0	0	0	0	0	HAO1	-	511293
hsa-mir-665	MI0005563	chr14	+	101341370	101341441	hsa-miR-665	12.48	2.85	8.67	3.01	0	RTL1	-	5552
hsa-mir-888	MI0005537	chrX	-	145076302	145076378	hsa-miR-888-5p	2	0.95	0.79	0	0.54	CXorf1	+	164933
hsa-mir-519c	MI0003148	chr19	+	54189723	54189809	hsa-miR-519c-3p	0	0	6.7	0	0.18	DPRX	+	-49461
hsa-mir-548h-5	MI0016751	chr6	+	132113312	132113371	hsa-miR-548h-5p	0	0	0	0	0.36	ENPP1	+	15786
hsa-mir-212	MI0000288	chr17	-	1953565	1953674	hsa-miR-212-5p	14.7	5	1.18	32.05	1.96	HIC1	+	-4720
hsa-mir-633	MI0003648	chr17	+	61021576	61021673	none	0	0	0	0	0	TANC2	+	65226
hsa-mir-4256	MI0015855	chr1	-	113004392	113004455	none	0	0	0	0	0	CTTNBP2NL	+	607
hsa-mir-4445	MI0016788	chr3	+	109321675	109321744	hsa-miR-4445-3p	0	0	0	0	0.36	FLJ25363	+	-107662
hsa-mir-365b	MI0000769	chr17	+	29902430	29902540	hsa-miR-365b-5p	4.01	6.66	1.18	5.71	2.32	RAB11FIP4	+	-37199
hsa-mir-8070	MI0025906	chr11	-	11804682	11804769	none	0	0	0	0	0	USP47	+	-58202
hsa-mir-124-3	MI0000445	chr20	+	61809852	61809938	hsa-miR-124-3p	9006.79	4.76	6.7	5731.24	8.57	YTHDF1	-	16845
hsa-mir-450a-2	MI0003187	chrX	-	133674538	133674637	hsa-miR-450a-2-3p	0	0	0	0.16	0.36	MGC16121	-	-2771
hsa-mir-1206	MI0006339	chr8	+	129021144	129021202	none	0	0	0	0	0	PVT1	+	0
hsa-mir-217	MI0000293	chr2	-	56210102	56210211	hsa-miR-217	1.34	7.38	16.16	4.92	95.85	EFEMP1	-	58805
hsa-mir-194-2	MI0000732	chr11	-	64658827	64658911	hsa-miR-194-5p	224.56	82.32	51.63	51.56	4214.99	ATG2A	-	-3094
hsa-mir-369	MI0000777	chr14	+	101531935	101532004	hsa-miR-369-5p	3.56	3.09	13.01	3.97	1.43	MEG9	+	4245
hsa-mir-6512	MI0022224	chr2	-	178178534	178178610	hsa-miR-6512-5p	0	0.24	0	0	0.54	LOC100130691	-	0
hsa-mir-5195	MI0018174	chr14	-	107259100	107259214	none	0	0	0	0	0	LINC00221	+	307572
hsa-mir-371a	MI0000779	chr19	+	54290929	54290995	hsa-miR-371a-5p	0	0.48	10.25	0	0.54	NLRP12	-	5861
hsa-mir-4757	MI0017398	chr2	+	19548190	19548266	hsa-miR-4757-3p	0	0	0.39	0.16	0.18	OSR1	-	2981
hsa-mir-6511a-2	MI0023564	chr16	+	16418445	16418511	hsa-miR-6511a-5p	0.22	0	0.39	0.32	0	PKD1P1	+	0
hsa-mir-216b	MI0005569	chr2	-	56227849	56227930	hsa-miR-216b-5p	1.56	0.71	7.49	1.59	3.93	EFEMP1	-	76552
hsa-mir-4638	MI0017265	chr5	-	180649566	180649633	hsa-miR-4638-5p	0.89	0.24	0	0.63	0.36	TRIM41	+	-631
hsa-mir-518b	MI0003156	chr19	+	54205991	54206073	hsa-miR-518b	0.45	0.95	38.62	0	0	DPRX	+	-65729
hsa-mir-3679	MI0016080	chr2	+	134884696	134884763	hsa-miR-3679-5p	0.67	0.48	0	0.32	0	MGAT5	+	127068
hsa-mir-518f	MI0003154	chr19	+	54203269	54203355	hsa-miR-518f-3p	0	0	3.55	0	0	DPRX	+	-63007
hsa-mir-523	MI0003153	chr19	+	54201639	54201725	hsa-miR-523-3p	0	0	1.18	0	0	DPRX	+	-61377
hsa-mir-374a	MI0000782	chrX	-	73507121	73507192	hsa-miR-374a-5p	0.67	59.48	87.89	7.93	40.34	FTX	-	0
hsa-mir-563	MI0003569	chr3	+	15915278	15915356	none	0	0	0	0	0	ANKRD28	-	-14226
hsa-mir-4509-2	MI0016874	chr15	+	28671637	28671730	none	0	0	0	0	0	GOLGA8G	+	-34467
hsa-mir-2054	MI0010488	chr4	+	126428414	126428462	none	0	0	0	0	0	FAT4	+	-14328
hsa-mir-4302	MI0015833	chr12	-	26026953	26027012	none	0	0	0	0	0	LOC100506451	-	-80577
hsa-mir-223	MI0000300	chrX	+	65238712	65238821	hsa-miR-223-5p	0.67	3.09	1.58	0.16	1.07	VSIG4	-	2760
hsa-mir-4443	MI0016786	chr3	+	48238054	48238106	hsa-miR-4443	2.45	0	0	0.32	0	CDC25A	-	-8254
hsa-mir-5681a	MI0019281	chr8	+	75460778	75460852	none	0	0	0	0	0	FLJ39080	+	51250
hsa-mir-8086	MI0025922	chr10	-	28578187	28578279	none	0	0	0	0	0	MPP7	-	7121
hsa-mir-124-1	MI0000443	chr8	-	9760898	9760982	hsa-miR-124-3p	9006.79	4.76	6.7	5731.24	8.57	LINC00599	-	60
hsa-mir-181c	MI0000271	chr19	+	13985513	13985622	hsa-miR-181c-5p	914.49	215.31	48.08	715.33	154.93	NANOS3	+	2442
hsa-mir-550b-2	MI0016687	chr7	-	32772593	32772689	none	0	0	0	0	0	ZNRF2P1	+	2999
hsa-mir-150	MI0000479	chr19	-	50004042	50004125	hsa-miR-150-5p	83.32	262.18	57.15	82.97	18.03	RPS11	+	1074
hsa-mir-4509-3	MI0016875	chr15	-	28735898	28735991	none	0	0	0	0	0	GOLGA8G	-	-28767
hsa-mir-345	MI0000825	chr14	+	100774196	100774293	hsa-miR-345-3p	0	0.48	0	0	0	SLC25A29	-	-1337
hsa-mir-515-2	MI0003147	chr19	+	54188263	54188345	hsa-miR-515-5p	0	0	10.25	0	0	DPRX	+	-48001
hsa-mir-155	MI0000681	chr21	+	26946292	26946356	none	0	0	0	0	0	LINC00515	-	8732
hsa-mir-99b	MI0000746	chr19	+	52195865	52195934	hsa-miR-99b-3p	398.32	51.86	25.62	203.23	66.93	LINC00085	+	660
hsa-mir-520c	MI0003158	chr19	+	54210707	54210793	hsa-miR-520c-3p	0	0	24.04	0	0	DPRX	+	-70445
hsa-mir-18b	MI0001518	chrX	-	133304071	133304141	hsa-miR-18b-3p	0	0	0	0	0.36	CCDC160	+	-66937
hsa-mir-4468	MI0016819	chr7	+	137808504	137808567	none	0	0	0	0	0	AKR1D1	+	-5455
